nohup: ignoring input
[NORMAL][1670774870][创建Index单例完成...][searcher.hpp: 27]
[NORMAL][1670774883][当前已经建立的索引文档: [50]][index.hpp: 103]
[NORMAL][1670774883][当前已经建立的索引文档: [100]][index.hpp: 103]
[NORMAL][1670774883][当前已经建立的索引文档: [150]][index.hpp: 103]
[NORMAL][1670774883][当前已经建立的索引文档: [200]][index.hpp: 103]
[NORMAL][1670774883][当前已经建立的索引文档: [250]][index.hpp: 103]
[NORMAL][1670774884][当前已经建立的索引文档: [300]][index.hpp: 103]
[NORMAL][1670774884][当前已经建立的索引文档: [350]][index.hpp: 103]
[NORMAL][1670774885][当前已经建立的索引文档: [400]][index.hpp: 103]
[NORMAL][1670774885][当前已经建立的索引文档: [450]][index.hpp: 103]
[NORMAL][1670774885][当前已经建立的索引文档: [500]][index.hpp: 103]
[NORMAL][1670774886][当前已经建立的索引文档: [550]][index.hpp: 103]
[NORMAL][1670774886][当前已经建立的索引文档: [600]][index.hpp: 103]
[NORMAL][1670774886][当前已经建立的索引文档: [650]][index.hpp: 103]
[NORMAL][1670774887][当前已经建立的索引文档: [700]][index.hpp: 103]
[NORMAL][1670774887][当前已经建立的索引文档: [750]][index.hpp: 103]
[NORMAL][1670774888][当前已经建立的索引文档: [800]][index.hpp: 103]
[NORMAL][1670774889][当前已经建立的索引文档: [850]][index.hpp: 103]
[NORMAL][1670774889][当前已经建立的索引文档: [900]][index.hpp: 103]
[NORMAL][1670774890][当前已经建立的索引文档: [950]][index.hpp: 103]
[NORMAL][1670774890][当前已经建立的索引文档: [1000]][index.hpp: 103]
[NORMAL][1670774890][当前已经建立的索引文档: [1050]][index.hpp: 103]
[NORMAL][1670774890][当前已经建立的索引文档: [1100]][index.hpp: 103]
[NORMAL][1670774890][当前已经建立的索引文档: [1150]][index.hpp: 103]
[NORMAL][1670774891][当前已经建立的索引文档: [1200]][index.hpp: 103]
[NORMAL][1670774891][当前已经建立的索引文档: [1250]][index.hpp: 103]
[NORMAL][1670774891][当前已经建立的索引文档: [1300]][index.hpp: 103]
[NORMAL][1670774891][当前已经建立的索引文档: [1350]][index.hpp: 103]
[NORMAL][1670774891][当前已经建立的索引文档: [1400]][index.hpp: 103]
[NORMAL][1670774892][当前已经建立的索引文档: [1450]][index.hpp: 103]
[NORMAL][1670774892][当前已经建立的索引文档: [1500]][index.hpp: 103]
[NORMAL][1670774892][当前已经建立的索引文档: [1550]][index.hpp: 103]
[NORMAL][1670774892][当前已经建立的索引文档: [1600]][index.hpp: 103]
[NORMAL][1670774893][当前已经建立的索引文档: [1650]][index.hpp: 103]
[NORMAL][1670774893][当前已经建立的索引文档: [1700]][index.hpp: 103]
[NORMAL][1670774893][当前已经建立的索引文档: [1750]][index.hpp: 103]
[NORMAL][1670774894][当前已经建立的索引文档: [1800]][index.hpp: 103]
[NORMAL][1670774894][当前已经建立的索引文档: [1850]][index.hpp: 103]
[NORMAL][1670774895][当前已经建立的索引文档: [1900]][index.hpp: 103]
[NORMAL][1670774895][当前已经建立的索引文档: [1950]][index.hpp: 103]
[NORMAL][1670774895][当前已经建立的索引文档: [2000]][index.hpp: 103]
[NORMAL][1670774895][当前已经建立的索引文档: [2050]][index.hpp: 103]
[NORMAL][1670774896][当前已经建立的索引文档: [2100]][index.hpp: 103]
[NORMAL][1670774896][当前已经建立的索引文档: [2150]][index.hpp: 103]
[NORMAL][1670774897][当前已经建立的索引文档: [2200]][index.hpp: 103]
[NORMAL][1670774897][当前已经建立的索引文档: [2250]][index.hpp: 103]
[NORMAL][1670774897][当前已经建立的索引文档: [2300]][index.hpp: 103]
[NORMAL][1670774897][当前已经建立的索引文档: [2350]][index.hpp: 103]
[NORMAL][1670774897][当前已经建立的索引文档: [2400]][index.hpp: 103]
[NORMAL][1670774898][当前已经建立的索引文档: [2450]][index.hpp: 103]
[NORMAL][1670774898][当前已经建立的索引文档: [2500]][index.hpp: 103]
[NORMAL][1670774899][当前已经建立的索引文档: [2550]][index.hpp: 103]
[NORMAL][1670774899][当前已经建立的索引文档: [2600]][index.hpp: 103]
[NORMAL][1670774899][当前已经建立的索引文档: [2650]][index.hpp: 103]
[NORMAL][1670774899][当前已经建立的索引文档: [2700]][index.hpp: 103]
[NORMAL][1670774900][当前已经建立的索引文档: [2750]][index.hpp: 103]
[NORMAL][1670774900][当前已经建立的索引文档: [2800]][index.hpp: 103]
[NORMAL][1670774900][当前已经建立的索引文档: [2850]][index.hpp: 103]
[NORMAL][1670774901][当前已经建立的索引文档: [2900]][index.hpp: 103]
[NORMAL][1670774901][当前已经建立的索引文档: [2950]][index.hpp: 103]
[NORMAL][1670774902][当前已经建立的索引文档: [3000]][index.hpp: 103]
[NORMAL][1670774902][当前已经建立的索引文档: [3050]][index.hpp: 103]
[NORMAL][1670774903][当前已经建立的索引文档: [3100]][index.hpp: 103]
[NORMAL][1670774904][当前已经建立的索引文档: [3150]][index.hpp: 103]
